,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
138,Leh,IN,34.1667,77.5833,44.89,59,91,5.57,overcast clouds
139,Colac,AU,-38.3333,143.5833,50.83,79,7,3.51,clear sky
140,Ixtapa,MX,20.7,-105.2,87.39,39,5,7.49,clear sky
141,Rehnan,IR,32.6846,51.6013,54.91,15,1,4.59,clear sky
142,Saldanha,ZA,-33.0117,17.9442,48.25,63,0,18.63,clear sky
143,Dijkot,PK,31.2167,72.9833,88.23,12,3,4.12,clear sky
144,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,54.12,62,1,5.57,clear sky
145,Boyolangu,ID,-8.1181,111.8935,75.69,93,92,0.43,light rain
146,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.24,65,3,18.28,clear sky
147,Aswan,EG,24.0934,32.907,85.12,9,5,11.18,clear sky
148,Rio Gallegos,AR,-51.6226,-69.2181,42.85,100,100,6.91,drizzle
149,Estelle,US,29.8458,-90.1067,88.0,60,66,11.99,broken clouds
150,Coihaique,CL,-45.5752,-72.0662,39.81,81,75,0.0,broken clouds
151,Padang,ID,-0.9492,100.3543,73.45,76,100,3.11,overcast clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,50.95,76,0,5.75,clear sky
153,Mineiros,BR,-17.5694,-52.5511,50.79,62,100,4.23,overcast clouds
154,Mount Gambier,AU,-37.8333,140.7667,49.93,75,9,5.66,clear sky
155,Batemans Bay,AU,-35.7167,150.1833,54.1,65,93,5.93,overcast clouds
156,Tuatapere,NZ,-46.1333,167.6833,43.79,84,95,15.14,light rain
157,Victor Harbor,AU,-35.5667,138.6167,45.68,76,33,8.57,scattered clouds
158,Krasnoselkup,RU,65.7,82.4667,50.97,83,97,14.2,overcast clouds
159,Lasa,IT,46.6166,10.7002,59.68,89,98,2.08,overcast clouds
160,Aklavik,CA,68.2191,-135.0107,41.0,60,40,3.44,scattered clouds
161,Golden,US,39.7555,-105.2211,88.7,14,75,37.98,broken clouds
162,Salalah,OM,17.0151,54.0924,79.5,76,73,4.43,broken clouds
163,Hangu,CN,39.2489,117.7892,71.64,42,54,5.1,broken clouds
164,Ribeira Grande,PT,38.5167,-28.7,60.26,76,37,4.14,scattered clouds
165,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,6.91,clear sky
166,Guerrero Negro,MX,27.9769,-114.0611,67.62,59,0,16.46,clear sky
167,Vostok,RU,46.4856,135.8833,53.6,79,56,4.25,broken clouds
168,Shakhtinsk,KZ,49.71,72.5872,50.94,49,29,6.58,scattered clouds
