City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
260,Fayaoue,NC,77.97,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
261,Hithadhoo,MV,83.12,broken clouds,-0.6,73.0833,Scoop Guest House
264,Maragogi,BR,79.29,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
275,Barahona,DO,84.02,scattered clouds,18.2085,-71.1008,Hotel Caribe
276,Rockport,US,86.04,scattered clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
277,Lahat,ID,71.08,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
278,Meulaboh,ID,76.82,overcast clouds,4.1363,96.1285,Kost Pria
279,Saint-Francois,FR,71.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
281,Amapa,BR,71.47,overcast clouds,1.0,-52.0,
289,Balabac,PH,83.68,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
291,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
292,Alyangula,AU,80.91,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
293,Lompoc,US,84.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
294,Villa Guerrero,MX,87.42,broken clouds,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
295,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Vista Roof Restaurant
307,Rajshahi,BD,79.34,scattered clouds,24.3667,88.6,Anjum Hotel International
308,Baculin,PH,81.12,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
309,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
310,Buchanan,LR,78.04,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
312,Sumbe,AO,72.99,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
313,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
316,Cabatuan,PH,81.32,scattered clouds,10.8794,122.486,MVC Transient Room
317,Havelock,US,85.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
321,Bubaque,GW,78.98,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
324,Isla Mujeres,MX,86.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
327,Urucui,BR,79.63,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
330,Sabang,ID,83.05,overcast clouds,5.8933,95.3214,Hotel Citra
331,Praia,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
333,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
334,Mirabad,AF,81.18,clear sky,30.4362,61.8383,
335,Doha,QA,93.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
338,Jasper,US,84.67,scattered clouds,37.2001,-94.3502,Guest House Motel
339,Sola,VU,81.95,few clouds,-13.8833,167.55,Leumerus Bungalows
341,Bonfim,BR,75.87,overcast clouds,3.0833,-59.95,
342,Maha Sarakham,TH,76.01,overcast clouds,16.3333,103.6667,บุญทัน​บาเบอร์
344,Kavaratti,IN,82.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
347,Tessalit,ML,88.27,clear sky,20.1986,1.0114,
348,Dan Khun Thot,TH,74.37,overcast clouds,15.2085,101.7714,Sai Thong Hotel
349,Puerto Penasco,MX,75.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
352,Lazaro Cardenas,MX,83.26,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
353,Bilma,NE,92.55,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
355,Vao,NC,75.78,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
360,Kapoeta,SS,80.51,broken clouds,4.7717,33.5903,Eastgate Hotel
363,Grand-Santi,GF,72.34,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
364,Marion,US,78.58,light rain,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
365,Sao Miguel,BR,81.37,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
366,Kirkuk,IQ,79.56,clear sky,35.4681,44.3922,Cihad Oteli
367,Impfondo,CG,73.47,light rain,1.6381,18.0667,Auberge La Place de Jules
