City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Airai,TL,2022-05-09 23:12:24,-8.9266,125.4092,61.83,69,99,2.64
109,Quatre Cocos,MU,2022-05-09 23:12:24,-20.2078,57.7625,73.09,82,27,7.81
110,Hithadhoo,MV,2022-05-09 23:12:25,-0.6,73.0833,84.56,77,71,20.94
111,Saint-Nazaire,FR,2022-05-09 23:12:26,47.2833,-2.2,60.78,91,0,3.44
112,Komsomolskiy,UZ,2022-05-09 23:12:26,40.4272,71.7189,72.32,43,94,4.61
113,Touros,BR,2022-05-09 23:12:27,-5.1989,-35.4608,77.18,87,29,13.96
114,Upernavik,GL,2022-05-09 23:09:30,72.7868,-56.1549,26.08,96,100,4.99
115,Chalus,IR,2022-05-09 23:12:28,36.655,51.4204,60.58,90,87,6.11
116,Poli,TZ,2022-05-09 23:12:28,-3.3333,36.8,59.04,95,52,2.44
117,Yining,CN,2022-05-09 23:12:29,29.0361,114.5636,63.79,99,100,4.52
118,Aquiraz,BR,2022-05-09 23:12:29,-3.9014,-38.3911,80.69,76,100,6.22
119,Ilulissat,GL,2022-05-09 23:12:30,69.2167,-51.1,24.82,86,75,25.32
120,Wanaka,NZ,2022-05-09 23:12:30,-44.7,169.15,49.37,73,21,2.8
121,Srednekolymsk,RU,2022-05-09 23:12:31,67.45,153.6833,34.84,92,100,16.8
122,Bethel,US,2022-05-09 23:12:31,41.3712,-73.414,67.05,14,0,14.97
123,Shintomi,JP,2022-05-09 23:12:32,32.0785,131.4723,61.92,85,100,10.8
124,Baykit,RU,2022-05-09 23:12:32,61.67,96.37,29.48,84,41,2.33
125,Biskupiec,PL,2022-05-09 23:12:33,53.8647,20.9569,39.49,75,48,6.26
126,Perpignan,FR,2022-05-09 23:12:33,42.75,2.75,64.18,81,0,2.3
127,Wagar,SD,2022-05-09 23:12:34,16.1525,36.2032,84.81,21,15,15.55
128,Pangnirtung,CA,2022-05-09 23:11:22,66.1451,-65.7125,27.66,88,99,2.95
129,Hongjiang,CN,2022-05-09 23:12:35,27.11,109.9956,61.7,96,100,3.83
130,Ngunguru,NZ,2022-05-09 23:12:35,-35.6167,174.5,65.53,65,8,10.87
131,Lompoc,US,2022-05-09 23:09:32,34.6391,-120.4579,69.57,55,0,24.0
132,Alta Floresta,BR,2022-05-09 23:12:36,-9.8756,-56.0861,75.25,76,33,2.21
133,Pundaguitan,PH,2022-05-09 23:13:37,6.3711,126.1689,80.85,82,100,8.66
134,Tocopilla,CL,2022-05-09 23:13:37,-22.092,-70.1979,65.39,71,6,6.29
135,Lannion,FR,2022-05-09 23:13:37,48.75,-3.4167,63.14,76,100,8.3
136,Nushki,PK,2022-05-09 23:13:38,29.5542,66.0215,81.12,16,1,5.17
137,Tabou,CI,2022-05-09 23:13:39,4.423,-7.3528,80.2,79,49,6.85
138,Igarka,RU,2022-05-09 23:13:39,67.4667,86.5833,33.73,99,100,15.9
139,Codrington,AU,2022-05-09 23:13:39,-38.2667,141.9667,49.95,76,11,5.95
140,Dingle,PH,2022-05-09 23:13:40,10.9995,122.6711,79.39,84,100,6.93
141,Lorica,CO,2022-05-09 23:13:40,9.2365,-75.8135,82.44,83,72,7.81
142,Denpasar,ID,2022-05-09 23:13:41,-8.65,115.2167,82.06,88,75,4.61
143,Veraval,IN,2022-05-09 23:13:42,20.9,70.3667,81.28,80,91,15.37
144,Zhigansk,RU,2022-05-09 23:13:42,66.7697,123.3711,17.51,87,13,8.79
145,Mount Isa,AU,2022-05-09 23:13:43,-20.7333,139.5,67.77,94,100,5.75
146,Tasiilaq,GL,2022-05-09 23:13:43,65.6145,-37.6368,33.96,69,96,3.09
147,Georgetown,MY,2022-05-09 23:11:56,5.4112,100.3354,82.33,94,20,0.0
148,Narsaq,GL,2022-05-09 23:13:44,60.9167,-46.05,46.62,83,9,3.78
149,Norman Wells,CA,2022-05-09 23:13:45,65.282,-126.8329,47.34,30,0,12.97
150,Camacha,PT,2022-05-09 23:13:08,33.0833,-16.3333,62.02,77,20,10.36
151,Cilegon,ID,2022-05-09 23:13:46,-6.0174,106.0538,79.34,85,81,3.96
152,Porto Recanati,IT,2022-05-09 23:13:46,43.4365,13.6613,59.7,82,14,6.42
153,Kloulklubed,PW,2022-05-09 23:13:47,7.0419,134.2556,75.7,83,100,9.04
